timestamp,model,input_tokens,output_tokens,total_tokens,cost,latency_ms
2025-10-15 17:28:11,gpt-5,0,0,0,0.0,15145.28
2025-10-15 17:29:24,gpt-5,0,0,0,0.0,8326.28
2025-10-15 17:32:54,gpt-5,486,171,657,0.0023175,4084.88
2025-10-15 17:33:21,gpt-5,387,1806,2193,0.01854375,27276.99
2025-10-15 17:34:18,gpt-5,192,443,635,0.00467,6968.42
2025-10-17 13:06:55,gpt-5,482,104,586,0.0016424999999999999,3818.6
2025-10-17 13:07:20,gpt-5,384,1504,1888,0.015519999999999999,24206.51
2025-10-17 13:09:24,gpt-5,189,247,436,0.00270625,3830.5
2025-10-17 13:09:31,gpt-5,1067,495,1562,0.006283749999999999,6978.52
2025-10-17 13:12:12,gpt-5,492,242,734,0.003035,4760.2
2025-10-17 13:12:16,gpt-5,117,84,201,0.00098625,3596.08
2025-10-17 13:12:24,gpt-5,383,778,1161,0.00825875,8182.1
2025-10-17 13:12:33,gpt-5,384,1219,1603,0.012669999999999999,16802.16
2025-10-17 13:14:07,gpt-5,188,375,563,0.003985,5275.33
2025-10-17 13:14:13,gpt-5,1066,421,1487,0.0055425000000000006,5977.56
2025-10-17 13:14:22,gpt-5,189,1326,1515,0.01349625,15269.38
2025-10-17 13:14:29,gpt-5,70,364,434,0.0037275,6652.91
2025-10-17 13:37:38,gpt-5,492,309,801,0.003705,7248.45
2025-10-17 13:37:41,gpt-5,120,84,204,0.00099,2811.01
2025-10-17 13:37:52,gpt-5,387,858,1245,0.00906375,11194.55
2025-10-17 13:38:10,gpt-5,383,1700,2083,0.017478749999999998,28831.78
2025-10-17 13:39:02,gpt-5,192,876,1068,0.009000000000000001,13026.56
2025-10-17 13:39:25,gpt-5,1460,1209,2669,0.013915,22838.5
2025-10-17 13:39:38,gpt-5,73,718,791,0.00727125,12601.27
2025-10-17 13:41:10,gpt-5,492,371,863,0.004325000000000001,5954.11
2025-10-17 13:41:13,gpt-5,117,20,137,0.00034625,2475.87
2025-10-17 13:41:29,gpt-5,384,1029,1413,0.01077,16041.81
2025-10-17 13:41:38,gpt-5,384,1892,2276,0.0194,25056.4
2025-10-17 13:43:12,gpt-5,189,821,1010,0.00844625,17218.35
2025-10-17 13:43:21,gpt-5,70,569,639,0.0057775,8107.54
2025-10-17 13:43:25,gpt-5,189,375,564,0.00398625,5803.75
2025-10-17 13:43:32,gpt-5,1067,428,1495,0.00561375,7179.46
2025-10-17 13:47:00,gpt-5,492,373,865,0.004345,8150.66
2025-10-17 13:47:03,gpt-5,120,20,140,0.00035000000000000005,2588.8
2025-10-17 13:47:17,gpt-5,383,1257,1640,0.013048750000000001,13903.32
2025-10-17 13:47:19,gpt-5,387,1077,1464,0.01125375,15678.93
2025-10-17 13:48:27,gpt-5,188,375,563,0.003985,6316.85
2025-10-17 13:48:34,gpt-5,1066,477,1543,0.0061025,7569.81
2025-10-17 13:49:34,gpt-5,192,942,1134,0.00966,13683.1
2025-10-17 13:49:41,gpt-5,73,431,504,0.004401250000000001,6971.97
2025-10-17 13:51:44,gpt-5,492,373,865,0.004345,5724.66
2025-10-17 13:51:46,gpt-5,120,84,204,0.00099,2322.56
2025-10-17 13:51:54,gpt-5,383,711,1094,0.00758875,7718.04
2025-10-17 13:51:59,gpt-5,387,1022,1409,0.01070375,12269.06
2025-10-17 13:53:26,gpt-5,192,620,812,0.0064399999999999995,2872.55
2025-10-17 13:53:28,gpt-5,188,439,627,0.004625,2074.13
2025-10-17 13:53:34,gpt-5,1066,352,1418,0.0048525,5478.33
2025-10-17 13:53:49,gpt-5,1460,1776,3236,0.019585,20684.03
2025-10-17 13:53:57,gpt-5,73,627,700,0.00636125,7561.96
2025-10-17 13:54:37,gpt-5,492,309,801,0.003705,4832.46
2025-10-17 13:54:39,gpt-5,120,80,200,0.0009500000000000001,1569.5
2025-10-17 13:54:49,gpt-5,387,958,1345,0.01006375,10594.44
2025-10-17 13:54:50,gpt-5,383,1129,1512,0.01176875,11019.11
2025-10-17 13:56:21,gpt-5,192,684,876,0.00708,7744.17
2025-10-17 13:56:37,gpt-5,1460,1188,2648,0.013705,16113.25
2025-10-17 13:56:45,gpt-5,73,622,695,0.006311250000000001,8224.29
2025-10-17 13:56:47,gpt-5,188,375,563,0.003985,5933.64
2025-10-17 13:56:53,gpt-5,1066,545,1611,0.0067825,6341.22
2025-10-17 13:57:35,gpt-5,492,373,865,0.004345,8741.02
2025-10-17 13:57:37,gpt-5,120,84,204,0.00099,2117.58
2025-10-17 13:57:47,gpt-5,383,1051,1434,0.01098875,9865.73
2025-10-17 13:57:49,gpt-5,387,927,1314,0.00975375,11613.9
2025-10-17 13:58:55,gpt-5,192,620,812,0.0064399999999999995,8673.6
2025-10-17 13:59:04,gpt-5,1460,846,2306,0.010284999999999999,8914.28
2025-10-17 13:59:14,gpt-5,73,560,633,0.005691249999999999,9775.61
2025-10-17 14:01:11,gpt-5,495,376,871,0.00437875,5993.18
2025-10-17 14:01:13,gpt-5,120,84,204,0.00099,2280.92
2025-10-17 14:01:27,gpt-5,387,978,1365,0.010263749999999999,14064.37
2025-10-17 14:01:31,gpt-5,386,1630,2016,0.0167825,18306.25
